speech 1 |thank*1|
something in |common*1|
in common |hardworking*1|
common hardworking |people*1|
hardworking people |they*1|
people they |do*1|put*1|take*1|want*1|wanted*1|work*1|
they want |they’re*1|to*4|
want to |ask*1|be*2|begin*1|bring*1|congratulation*1|continue*1|cut*3|do*1|give*1|have*2|identify*1|just*1|know*2|make*2|overturn*1|put*2|say*2|tell*1|thank*2|use*1|work*1|
to work |because*1|but*1|so*1|they*1|very*1|
work they |sweated*1|want*1|
to make |a*1|america*5|it*2|less*1|our*5|sure*1|the*4|this*1|
make the |country*4|george*2|
the country |actually*1|all*1|and*4|great*1|i*2|rich*3|the*2|we’re*1|
country great |again*4|i*1|
great i |love*1|want*1|
i love |china*2|doing*1|evangelicals*1|i*1|john*1|las*1|my*2|the*6|them*1|this*2|what*1|you*1|—*1|
love the |country*2|military*1|people*1|poorly*1|saudis*1|second*1|
iowa so |thats*1|
so thats |the*1|
thats the |bad*1|end*2|way*1|
the way |all*1|and*3|by*1|especially*1|i*1|it*2|i’m*1|she*1|the*1|you*1|
way it |is*1|really*1|
it is |a*3|going*2|or*1|so*4|the*1|very*1|
is very |scary*1|simple*1|successful*1|very*1|
very simple |politicians*1|with*1|
simple with |that*1|
with that |economic*1|said*1|there’s*1|we*1|
that said |he*1|it*1|our*1|
said our |country*1|
our country |after*1|and*2|could*1|doesn’t*1|great*2|has*2|he*1|in*1|into*1|is*4|it*2|needs*1|one*1|rich*1|so*1|we*1|will*1|worse*1|—*1|
country is |in*3|really*1|
is really |being*1|headed*1|
really headed |in*1|
headed in |the*1|
in the |1940s*1|1990s*1|air*1|cold*1|excavation*1|history*3|last*1|long*1|middle*4|morning*1|muslim*1|new*1|next*2|old*1|past*1|poll*1|position*1|prison*1|region*3|republicans*1|sand*3|south*1|third*1|wall*1|world*16|wrong*2|
the wrong |direction*2|leader*1|number*2|
wrong direction |we’re*1|with*1|
direction with |a*1|
with a |5*1|capital*1|dangerous*1|politician*1|president*1|
a president |that*1|who*2|
president who |dislikes*1|is*1|
who is |doing*1|in*1|systematically*1|very*1|
is doing |an*1|in*1|
doing an |absolutely*1|
an absolutely |terrible*1|
absolutely terrible |job*1|
terrible job |the*1|
job the |world*1|
the world |25*1|again*1|and*6|as*1|but*1|events*1|ford*1|has*1|i*1|is*5|must*1|on*2|our*1|per*1|so*2|than*1|that*1|the*1|through*1|to*2|too*1|trade*3|we*1|when*2|will*1|you*1|
world is |a*1|collapsing*1|from*1|most*1|now*1|
is collapsing |around*1|
collapsing around |us*1|
around us |and*1|
us and |all*1|believe*1|many*1|saying*1|they*1|with*1|
and many |of*1|
many of |our*1|the*3|them*2|these*1|those*1|whom*1|
of the |american*2|americas*2|bank*1|best*1|big*1|candidates*1|cold*2|early*1|expense*1|fraud*2|great*2|group*2|iran*1|largest*1|lobbyists*1|main*1|materials*1|middle*1|midwest*1|money*1|most*1|mountain*1|nationbuilding*1|night*1|obamaclinton*1|old*1|other*2|people*2|press*1|problems*2|pundits*1|right*1|socalled*1|south*1|soviet*1|special*2|states*2|story*1|sudden*1|things*4|true*1|united*6|waste*2|world*2|world’s*1|
the problems |our*1|weve*1|
problems weve |caused*1|
weve caused |our*1|
caused our |president*1|
our president |doesn’t*1|has*1|is*1|
president is |either*1|
is either |grossly*1|
either grossly |incompetent*1|
grossly incompetent |a*1|
incompetent a |word*1|
a word |that*2|
word that |more*1|you*1|
that more |and*1|
more and |more*3|
and more |business*1|look*1|people*1|
more people |are*1|
people are |amazing*1|and*1|closing*1|coming*1|going*1|interested*1|just*1|leaving*1|like*2|now*1|saying*1|tired*1|using*1|
are using |and*1|the*1|
using and |i*1|
i think |any*1|beating*1|he’d*1|he’ll*2|i*1|it’s*1|i’m*1|ted’s*1|that*1|that’s*2|the*1|this*1|we*1|we’re*4|you*1|
think i |was*1|
i was |all*1|correct*1|going*1|hitting*1|never*1|on*1|president*1|responsible*1|so*1|the*2|totally*1|with*1|
was the |first*1|last*3|most*1|one*1|opposite*1|predominant*1|worst*1|
the first |time*1|to*1|
first to |use*1|
to use |a*1|caterpillar*1|it*2|that*1|them*2|
use it |because*1|or*1|
it or |a*1|he*1|not*2|
or he |has*1|
he has |a*1|been*2|even*1|small*5|treated*1|
has a |clear*1|completely*1|shot*1|
a completely |different*1|
completely different |agenda*1|
different agenda |than*1|
agenda than |you*1|
than you |want*1|
you want |but*1|press*1|to*3|
to know |about*1|that*1|the*2|unless*1|
know about |which*1|
about which |could*1|
which could |be*2|
could be |a*1|he’d*1|possible*1|seven*1|true*1|
be possible |in*1|
possible in |any*1|
in any |event*1|
any event |washington*1|
event washington |is*1|
washington is |broken*1|
is broken |and*1|
broken and |our*1|
and our |country*2|economy*1|enemies*1|jobs*1|leaders*1|leadership*1|real*1|secretary*1|
is in |big*1|serious*3|such*1|the*1|
in serious |trouble*3|
serious trouble |and*1|because*1|we*1|we’re*1|
trouble and |total*1|would*1|
and total |disarray*1|disaster*2|
total disarray |very*1|
disarray very |simple*1|
simple politicians |are*1|
politicians are |all*3|
are all |talk*4|
all talk |and*1|no*4|
talk no |action*4|
no action |and*1|it’s*1|nothing’s*1|politicians*1|they*1|
action they |are*1|
they are |all*1|and*1|beating*1|building*2|certainly*1|devaluing*1|doing*2|indeed*1|normal*1|not*1|ripping*1|taking*1|they*1|they’re*1|using*1|
talk and |no*1|thats*1|
and no |action*1|
action and |its*1|
and its |accomplishments*1|companies*1|constant*1|disgraceful*1|got*1|leadership*2|not*2|very*1|
its constant |it*1|
constant it |never*1|
it never |ends*1|
never ends |and*1|
ends and |im*1|
and im |a*2|very*1|
im a |conservative*1|republican*1|
a conservative |actually*1|but*1|
conservative actually |very*1|
actually very |conservative*1|
very conservative |and*1|
conservative and |im*1|
a republican |and*1|
republican and |im*1|
im very |disappointed*1|
very disappointed |by*1|
disappointed by |our*1|
by our |close*1|republican*1|
our republican |politicians*1|
republican politicians |because*1|doing*1|
politicians because |they*1|
because they |devalue*1|didn’t*1|dont*1|let*1|said*1|took*1|want*1|
they let |the*1|
let the |president*1|
the president |can’t*1|get*1|made*1|of*1|signs*1|
president get |away*1|
get away |with*3|
away with |absolute*1|anything*1|it*3|murder*1|we*1|
with absolute |murder*1|
absolute murder |you*1|
murder you |see*1|
you see |always*1|pfizer*1|so*1|the*2|
see always |oh*1|
always oh |were*1|
oh were |going*1|
were going |to*4|
going to |allow*1|approve*1|be*49|beat*1|become*1|bring*2|build*6|charge*1|close*1|cost*1|create*2|cut*1|do*6|faint*1|finally*1|find*3|forget*2|fund*1|get*5|getunless*1|go*4|grab*1|happen*10|have*8|help*1|keep—as*1|know*1|load*2|lose*2|lower*3|make*7|mess*1|nothing*1|pay*5|probably*1|protect*1|put*1|redo*1|save*1|say*2|spend*2|start*1|stop*1|straighten*1|switch*1|take*4|tell*2|tennessee*1|totally*1|walk*1|win*4|work*2|—*1|
to do |a*1|for*1|his*1|is*2|it*13|right*1|something*3|stories*1|that*1|the*2|this*2|very*1|what*2|with*2|
do this |and*1|politicians*1|were*1|
this were |fighting*1|going*1|
to nothing |and*1|ever*1|
nothing ever |happens*2|
ever happens |nothing*1|you*1|
happens nothing |ever*1|irs*1|
happens you |look*1|
you look |at*20|
look at |all*3|countries*1|everything*1|facebook*1|how*1|it*1|kennedy*1|lax*1|my*1|obamacare*2|our*3|that*3|the*10|these*2|twitter*1|us*1|what*2|what’s*4|
at obamacare |a*1|with*1|
obamacare a |total*1|
a total |catastrophe*1|disaster*2|lie*2|net*2|
total catastrophe |and*1|
catastrophe and |by*1|
and by |letting*1|the*11|
by the |agreements*1|best*1|donors*1|lobbyists*2|millions*1|rise*1|rules*1|special*1|turnout*1|way*11|—*1|
it really |helped*1|kicks*1|
really kicks |in*2|
kicks in |in*3|
in in |16*1|2016*1|’16*1|
in 16 |and*1|
16 and |it*1|
and it |can*2|didn’t*1|has*2|is*1|looked*1|looks*1|only*1|takes*1|turned*1|was*2|will*1|
is going |crazy*1|on*1|to*23|
to be |20000*1|a*17|able*1|absolutely*1|adversaries*1|allowed*1|amazingly*1|an*4|at*3|beating*1|careful*1|clearsighted*1|consistently*1|cool*1|destroyed*1|doing*2|done*1|even*1|fantastic*1|first*1|gone*1|good*2|high*1|hit*1|honest*2|in*3|it*1|local*1|more*2|much*1|nasty*1|one*1|our*1|out*1|paid*1|paying*1|proud*2|really*1|reliable*1|smart*2|so*1|some*1|strong*1|sure*1|that*1|the*3|thrilled*1|thriving*1|unpredictable*2|very*3|vigilant*1|working*1|—*1|
be a |beauty*1|better*1|christian*1|disaster*1|fact*1|friend*1|good*1|great*4|little*1|major*1|much*4|negotiation*1|serious*1|thing*1|twoway*1|unified*1|very*2|
a disaster |and*1|bush*1|called*1|my*1|people*1|thats*1|
disaster people |are*1|
are closing |up*1|
closing up |shop*1|shops*1|
up shops |doctors*1|
shops doctors |are*1|
doctors are |quitting*2|
are quitting |i*1|the*1|
quitting the |business*1|
the business |i*1|
business i |have*1|
have a |bigger*1|border*1|chance*1|clue*4|coherent*1|disaster*1|foreign*1|friend*2|game*1|good*2|gun*1|hole*1|long*1|lot*3|massive*1|news*1|nuclear*2|plan*2|president*1|presidential*1|problem*3|simple*1|situation*1|stock*2|terraza*1|total*1|trade*2|tremendous*1|very*2|wall*2|weak*1|white*1|wonderful*1|
a friend |again*1|of*5|to*1|who’s*1|
friend of |mine*6|phil*1|
of mine |is*1|someone*1|that*1|who*3|whos*1|who’s*1|
mine whos |a*1|
whos a |doctor*1|
a doctor |a*1|and*1|
doctor a |very*2|
a very |good*2|hard*1|important*1|nice*1|serious*1|short*1|special*1|successful*1|tough*1|very*2|
very good |and*1|doctor*1|thing*1|work*1|
good doctor |a*1|
very successful |guy*2|i*1|
successful guy |but*1|he*1|
he said |donald*1|i*3|im*1|mr*1|oh*1|tear*1|this*1|to*1|was*2|yeah*1|you*1|‘donald*1|
said i |can’t*1|disavow*1|don’t*2|gotta*1|have*1|know*1|think*1|thought*1|
have more |accountants*2|
more accountants |than*2|
accountants than |i*2|
than i |have*2|
have patients |and*1|
patients and |he*1|
and he |always*1|has*1|needs*1|said*3|was*2|
he needs |because*1|
needs because |it*1|
because it |is*1|was*2|
is so |bloated*1|complicated*1|incompetent*1|much*1|quick*1|rampant*1|terrible*1|unfair*1|
so complicated |and*1|
complicated and |so*1|
and so |i*1|many*3|much*1|terrible*1|you*1|
so terrible |and*1|it*1|
terrible and |hes*1|
and hes |been*1|going*2|never*1|
hes never |had*1|
never had |that*1|this*1|
had that |before*1|election*1|
that before |and*1|
before and |hes*1|nobody*1|
hes going |to*2|
to close |up*1|
close up |his*1|
up his |business*1|lifestyle*1|
his business |and*1|
business and |he*2|instead*1|
he was |a*1|angry*1|failing*1|going*1|losing*1|the*1|unable*1|very*2|vibrant*1|when*1|young*1|
was very |exciting*1|successful*1|very*1|
guy but |its*1|
but its |going*1|happening*1|
its happening |more*1|
happening more |and*1|
more look |at*1|
obamacare with |a*1|
a 5 |billion*2|
5 billion |we*1|web*3|website*1|
billion website |i*1|
website i |have*1|
have many |websites*1|
many websites |many*1|theyre*1|
websites many |many*1|
many many |decades*1|times*1|websites*1|—*1|
websites theyre |all*1|
theyre all |over*1|
all over |right*1|south*1|the*21|
over the |country*4|middle*1|next*1|place*11|ships*1|wires*1|world*6|
the place |and*2|but*1|i*1|is*1|making*1|this*1|thousands*1|tonight*1|was*1|we*2|we’re*1|
place but |for*1|
but for |10*1|purposes*1|this*1|
for 10 |okay*1|
10 okay |now*1|
okay now |everything*1|
now everything |about*1|
everything about |obamacare*1|
about obamacare |and*1|was*1|
obamacare was |a*1|
was a |done*1|filthy*1|great*3|horrible*1|lie*2|long*1|second*1|total*1|very*1|
a lie |and*1|it*1|
lie it |was*1|
it was |a*4|absolutely*1|announced*1|below*1|broadcast*1|clear*1|even*1|going*1|horrible*1|incredible*1|just*1|presidential*2|right*1|terrible*1|the*1|unbelievable*1|virtually*1|
a filthy |lie*1|
filthy lie |and*1|
lie and |everybody*1|when*1|
and when |chris*1|he*1|illegal*1|its*1|old*1|the*1|you*3|
when you |go*1|have*1|hear*1|know*1|look*3|run*1|see*1|think*2|
you think |about*1|of*1|theyre*1|
think about |it*1|too*1|
about it |all*1|and*2|because*1|believe*1|benghazi*1|but*1|he*1|it’s*1|lies*1|now*1|so*1|today*1|well*1|
it lies |i*1|
lies i |mean*1|
i mean |absolute*1|absolutely*1|almost*1|are*1|give*1|how*1|i*2|if*1|it*1|ive*1|i’m*1|most*1|must*1|our*1|people*1|quickly*1|right*1|seriously*1|the*2|they*1|to*1|unquestioned*1|we*1|you*5|
mean are |they*1|
are they |get*1|going*1|i’m*1|prosecuted*1|talk*1|tell*1|
they prosecuted |does*1|
prosecuted does |anyone*1|
does anyone |do*1|know*1|
anyone do |anything*1|
do anything |about*2|and*1|
anything and |he’s*1|it*1|they*1|what*1|
and what |a*1|are*2|did*1|do*1|happened*1|it*1|its*1|they*1|
what are |the*1|we*4|
are the |best*1|republican*1|world*1|
the republican |party*2|politicians*1|
politicians doing |about*1|
doing about |it*1|this*1|
it he |lied*1|
he lied |about*2|
lied about |every*1|the*1|
about the |doctor*1|groups*1|manufacturing*1|word*1|
the doctor |he*1|
doctor he |lied*1|
about every |aspect*1|
every aspect |of*1|you*1|
aspect you |can*1|
you can |afford*2|call*1|certainly*2|have*1|keep*1|look*1|see*1|take*3|
can keep |your*1|
keep your |plan*1|
your plan |and*1|
plan and |i’ll*1|youve*1|
and youve |all*1|
youve all |heard*1|
all heard |that*1|
heard that |a*1|hundreds*1|
that hundreds |of*1|
hundreds of |things*1|times*1|
of times |thats*1|
times thats |like*1|
thats like |the*1|
like the |academy*1|real*1|
the real |estate*1|number*2|
real estate |it’s*1|location*1|you*1|
estate location |location*1|
location location |but*1|i*1|
location i |dont*1|
i dont |even*1|know*1|
dont even |care*1|respect*1|say*1|
even say |it*1|
say it |and*1|anymore*1|i*2|there*1|
it anymore |because*1|
anymore because |everybody*1|
because everybody |goes*1|was*1|
everybody goes |location*1|
goes location |location*1|
location but |you*1|
but you |deserve*1|don’t*1|have*1|know*3|look*1|watch*1|
you have |a*5|all*1|ever*1|goodsized*1|great*1|heard*1|lax*1|never*2|nice*1|smart*1|something*1|strong*1|the*2|to*6|with*1|
have heard |this*1|
heard this |about*1|
this about |obamacare*1|
obamacare and |coming*1|it*1|its*1|replacing*1|they*1|
its disgraceful |its*1|
disgraceful its |a*1|
its a |big*1|real*1|
a big |assumption*1|audience*1|business*1|chunk*1|fan*1|fat*1|get*1|tariff*1|
big fat |horrible*1|
fat horrible |lie*1|
horrible lie |your*1|
lie your |deductibles*1|
your deductibles |are*1|
deductibles are |going*1|so*1|through*1|
are going |for*1|through*1|to*6|
going through |the*1|
through the |clear*1|roof*2|
the roof |you*1|youre*1|
roof youre |not*1|
youre not |going*3|
not going |anywhere*1|away*2|to*19|
to getunless |youre*1|
getunless youre |hit*1|
youre hit |by*1|
hit by |a*1|an*1|
by an |administration*1|army*1|
an army |tank*1|
army tank |youre*1|
tank youre |not*1|
to get |a*2|coverage*1|environmental*1|going*1|greedy*1|strong*2|the*1|worse*1|
get coverage |and*1|
coverage and |people*1|
and people |are*2|don’t*1|say*1|that*1|
people that |are*7|aren’t*3|don’t*1|get*1|had*1|have*3|know*1|look*1|they*1|want*2|we’re*1|work*1|
that had |a*1|no*1|nothing*1|plans*1|to*1|
had plans |that*1|
plans that |are*1|they*1|
that they |can*1|dont*1|have*1|loved*1|never*1|really*1|used*1|wanted*1|were*1|
they loved |that*1|
loved that |they*1|
they really |loved*1|
really loved |dont*1|
loved dont |have*1|
dont have |the*1|those*1|
have those |plans*1|two*1|
those plans |anymore*1|
plans anymore |so*1|
anymore so |its*1|
so its |a*1|
a real |real*1|
real real |disaster*1|
real disaster |and*1|
disaster and |somebody*1|we*1|
and somebody |else*1|has*1|makes*1|
somebody has |to*1|
has to |be*4|happen*2|repeal*1|stop*1|
to repeal |and*1|obamacare*1|
repeal and |replace*1|
and replace |obamacare*1|
replace obamacare |and*1|
and they |actually*1|all*1|are*3|asked*1|charged*1|come*1|didn’t*1|do*2|don’t*3|dump*1|get*1|have*6|kept*1|may*1|put*1|replace*1|respect*1|say*3|should*1|talk*2|throw*1|understand*1|wanted*1|were*2|wouldnt*1|
do it |again*1|all*1|and*4|because*1|but*2|cant*1|dad*1|fast*3|get*1|i*2|i’m*1|of*1|repealing*1|securing*1|seemed*1|so*1|take*1|we*3|when*1|
it fast |and*1|we*2|
fast and |not*1|
and not |help*1|just*1|
not just |a*1|talk*1|
just talk |about*1|
talk about |executive*1|immigration*1|it*3|oh*1|
it now |here’s*1|we*1|when*1|
now we |have*5|need*1|owe*1|spent*1|want*1|
we have |10000*1|2*1|a*15|all*2|another*1|artificially*1|been*1|big*1|countries*1|done*1|expanded*1|great*1|groups*1|i*2|in*1|incompetent*1|isis*1|leadership*1|losers*2|lost*1|no*5|nothing*2|people*10|politicians*1|right*1|serious*1|so*2|some*2|spent*1|such*1|take*1|the*7|thousands*2|to*38|today*1|tremendous*2|what*1|wounded*1|your*1|
to build |a*4|in*2|it*1|our*1|the*2|
build a |25*1|fence*1|hotel*1|wall*1|
a fence |and*1|
fence and |its*1|
its got |to*1|
got to |be*1|make*2|remember*1|stop*2|
a beauty |who*1|
beauty who |can*1|
who can |build*1|
can build |better*1|those*1|
build better |than*1|
better than |making*1|me*1|trump*1|us*1|we*1|
than trump |i*1|
trump i |always*1|build*1|had*1|just*1|
i build |great*1|i*1|its*1|nice*1|
build its |what*1|
its what |i*1|
what i |do*1|don’t*1|said*1|was*1|
i do |congratulate*1|have*1|i*1|no*1|
do i |build*1|think*1|
build i |build*1|
build nice |fences*1|
nice fences |but*1|
fences but |i*1|
but i |am*1|build*1|came*1|can*2|did*1|disavow*1|do*2|felt*1|have*1|just*1|know*1|learned*1|ride*1|said*3|still*1|think*1|will*1|wouldn’t*1|
build great |buildings*1|
great buildings |fences*1|
buildings fences |are*1|
fences are |easy*1|
are easy |believe*1|
easy believe |me*1|
believe me |but*1|folks*1|however*1|i*3|if*1|it*1|i’ll*1|there*1|we*1|we’re*2|you*1|—*1|
me i |am*1|know*1|saw*1|
i saw |the*1|
saw the |other*1|
the other |candidates*2|day*5|people*1|side*2|things*1|
other day |but*1|donald*1|in*2|on*1|
day on |television*1|
on television |and*1|because*1|finally*1|people*1|this*1|well*1|
television people |just*1|
people just |walking*1|
just walking |across*1|right*1|
walking across |the*1|
across the |border*4|
the border |absolutely*1|and*2|on*1|thats*1|theyre*1|they’re*2|we*1|we’re*1|with*1|
border theyre |walking*1|
theyre walking |the*1|
walking the |military*1|
the military |and*1|being*1|is*1|on*1|
military is |depleted*1|standing*1|
is standing |there*1|
standing there |100*1|holding*1|
there holding |guns*1|
holding guns |and*1|
guns and |now*1|people*1|
are just |in*1|walking*1|
walking right |in*1|
right in |front*1|
in front |coming*1|
front coming |into*1|
coming into |new*1|our*2|
into our |country*2|
country it |is*1|really*1|
terrible it |is*1|
so unfair |it*1|
unfair it |is*1|
so incompetent |and*1|
incompetent and |we*1|
and we |also*1|are*4|as*1|came*1|can*3|can’t*1|didn’t*1|dont*1|don’t*1|have*17|must*3|need*2|pay*1|should*1|understand*1|while*1|will*1|won*1|
we dont |do*1|have*1|the*1|
have the |abortion*1|best*3|cards*1|greatest*1|guts*1|highest*1|leverage*1|most*2|opposite*1|power*1|right*1|strongest*1|wrong*1|
the best |and*1|care*1|coming*1|courses*1|deals*1|equipment*2|hotel*3|minds*1|of*1|plan*1|way*1|
best coming |in*1|
coming in |and*1|they*1|we*1|
in we |have*1|
have people |that*11|
that are |always*1|bad*1|controlled*1|criminals*1|crooks*1|here*1|hispanic*1|morally*1|moving*1|obsolete*1|overrated*1|selling*1|so*1|stupid*1|talking*1|
are criminals |theyre*1|we*1|
criminals we |have*1|
are crooks |you*1|
crooks you |can*1|
can certainly |have*2|
certainly have |islamic*1|terrorists*1|
have terrorists |you*1|
terrorists you |can*2|
have islamic |terrorists*1|
islamic terrorists |in*1|you*1|
can have |anything*1|
have anything |coming*1|
anything coming |across*1|
coming across |the*1|
border we |dont*1|
dont do |anything*1|
anything about |executive*1|it*2|that*1|
it so |i*2|i’ve*1|what*1|
so i |announced*1|cant*1|congratulate*1|finally*1|have*1|just*2|put*1|said*3|think*1|want*3|would*2|—*1|
i would |call*1|certainly*1|do*1|have*1|invite*1|say*4|totally*1|
would say |25*1|congratulations*1|i*1|maybe*1|that*1|within*1|you*1|
say that |and*1|if*1|is*1|that’s*1|this*1|what*1|
that if |i*2|
if i |become*1|did*1|draw*1|ever*1|run*4|was*1|win*2|
i run |a*1|and*1|because*1|for*1|if*1|i’m*1|
run and |i*1|if*1|one*1|
and if |he*1|i*2|not*1|we*2|you*4|
i win |i*2|most*1|
win i |will*1|would*2|
would certainly |start*1|
certainly start |by*1|
start by |building*1|
by building |a*1|
building a |bridge*1|military*1|nice*1|very*1|
very very |careful*1|hard*3|honored*1|important*1|nasty*1|persuasive*1|powerful*1|quickly*1|sad*1|thrilled*1|weak*1|well*2|
very powerful |border*1|
powerful border |again*1|
border again |the*1|
again the |politicians*1|potential*1|worst*1|
the politicians |i’ve*1|talk*1|
politicians talk |about*1|
it and |after*1|i*2|it’s*1|i’m*1|i’ve*1|so*1|the*1|then*2|they*3|they’ll*1|we*1|we’ve*1|with*1|
they do |a*1|at*1|charge*1|is*1|it*1|not*1|nothing*1|they*1|
do nothing |about*1|
nothing about |it*1|
it benghazi |oh*1|
benghazi oh |benghazi*1|
oh benghazi |benghazi*1|
benghazi benghazi |everything*1|
benghazi everything |is*1|
everything is |benghazi*1|read*1|
is benghazi |what*1|
benghazi what |happens*1|
what happens |but*2|nothing*1|so*1|
nothing irs |emails*1|
irs emails |i*1|
emails i |get*1|
i get |along*1|greedy*1|sued*1|
get sued |all*1|
sued all |the*1|
all the |cards*1|companies*1|minerals*1|time*9|
the time |all*1|but*1|executive*1|for*1|its*1|okay*1|when*2|where*1|with*1|
time okay |i*1|
okay i |run*1|
run a |big*1|
big business |you*1|
business you |know*1|look*1|
you know |a*1|all*2|china*1|cutting*1|gitmo*1|how*1|i*6|if*1|in*1|its*1|it’s*2|ive*1|leadership*1|liberty*1|look*1|mr*2|my*1|no*1|nobody’s*1|somebody*1|that*2|the*3|these*1|they*3|they’re*1|we*1|we’re*3|what*10|when*3|where*1|whether*1|you*1|
know ive |always*1|
ive always |said*3|
always said |and*1|its*1|qatar*1|
said its |not*1|very*1|
its very |hard*1|important*1|very*2|
very hard |core*1|for*2|i’m*1|time*1|
hard for |a*1|me*1|somebody*1|
for a |little*2|long*4|lot*2|massive*1|new*1|number*1|period*1|person*1|religious*1|summit*1|
a person |get*1|who*1|
person who |is*1|
successful i |have*1|
have done |a*1|nothing*1|so*1|
done so |many*1|much*1|
so many |cameras*1|countries*1|deals*1|different*1|lives*1|look*1|of*3|other*3|others*1|people*2|places*1|things*2|web*1|wonderful*1|wounded*1|
many deals |almost*1|
deals almost |all*1|
almost all |of*1|
all of |a*1|it*1|my*1|that*1|the*10|their*1|them*1|these*3|this*2|which*1|
of them |are*3|both*1|but*2|have*1|in*1|most*1|that*1|they*1|we*1|
them have |been*1|
have been |a*1|abandoned*1|cleaned*1|eradicated*1|helped*2|many*1|paying*2|poor*1|president*1|tremendously*1|working*1|
been tremendously |successful*1|
tremendously successful |youll*1|
successful youll |see*1|
youll see |that*2|
see that |an*1|happening*1|when*1|
that when |i*1|people*1|we*1|you*2|
when i |become*1|file*1|have*1|look*1|reviewed*1|was*1|won*1|—*1|
i file |my*1|
file my |statements*1|
my statements |i*1|
statements i |mean*1|
mean you |know*3|looked*1|will*1|
you will |be*1|never*1|see*1|stick*1|
will see |you*1|
see you |will*1|
will be |a*1|america’s*1|by*1|celebrating*1|consequences*2|done*1|filed*1|further*1|gone*2|my*1|safer*1|the*4|there*1|used*1|very*1|weakness*1|
be very |careful*2|happy*1|nice*2|proud*1|very*3|
very proud |of*2|
proud of |but*1|in*1|me*1|my*2|you*1|your*1|
of me |and*1|okay*1|
me okay |but*1|
okay but |ive*1|think*1|
but ive |always*2|
said and |i*3|
i said |a*1|and*2|don’t*1|i*6|is*1|it*3|its*1|oh*1|ph*1|phil*1|that*1|that’s*1|they*1|this*1|to*1|very*1|we*1|well*1|what*1|what’s*1|you*1|—*1|
said it |first*1|i*1|loud*1|strongly*1|very*1|
it strongly |its*1|
